week,artist,songs
2015-11-07,Drake,3
2015-11-14,Drake,3
2015-11-21,Drake,3
2015-11-28,Drake,3
2015-12-05,Drake,3
2015-12-12,Drake,3
2015-12-19,Drake,3
2015-12-26,Drake,3
2016-01-02,Drake,3
2016-01-09,Drake,2
2016-01-16,Drake,2
2016-01-23,Drake,2
2016-01-30,Drake,2
2016-02-06,Drake,2
2016-02-13,Drake,1
2016-02-20,Drake,2
2016-02-27,Drake,2
2016-03-05,Drake,2
2016-03-12,Drake,2
2016-03-19,Drake,2
2016-03-26,Drake,2
2016-04-02,Drake,2
2016-04-09,Drake,2
